source,target,value
.NET,C#,2.0
.NET,WPF,1.0
.NET,ASP.NET MVC 5,1.0
Web Development,HTML5,2.0
Web Development,CSS,1.5
Web Development,Javascript,2.0
Web Development,Node.js,2.0
Web Development,D3.js,1.5
Front-End Frameworks,AngularJS,1.0
Front-End Frameworks,React,1.0
Security,OllyDbg,0.5
Security,IDA Pro,0.5
Security,Nmap,0.5
Security,Wireshark,0.5
